Material,Grade,Density,TensileStrength,YieldStrength,Hardness,ElasticModulus,CostScore,CorrosionResistance,WearResistance,SustainabilityScore
ANSI Aluminum Alloy 201.0 Cast,(T7),2.7,414,345,63.0,73000,6.0,7.0,2.337,8.5
ANSI Aluminum Alloy 204.0 Cast,(T4),2.7,310,193,63.0,73000,6.0,7.0,1.955,8.5
ANSI Aluminum Alloy 208.0 Cast,(F),2.7,131,83,63.0,73000,6.0,7.0,1.298,8.5
ANSI Aluminum Alloy 242.0 Cast,(T61),2.7,221,138,63.0,73000,6.0,7.0,1.628,8.5
ANSI Aluminum Alloy 242.0 Cast,(T77),2.7,165,90,63.0,73000,6.0,7.0,1.422,8.5
ANSI Aluminum Alloy 295.0 Cast,(T4),2.7,200,90,63.0,73000,6.0,7.0,1.551,8.5
ANSI Aluminum Alloy 295.0 Cast,(T6),2.7,221,138,63.0,73000,6.0,7.0,1.628,8.5
ANSI Aluminum Alloy 295.0 Cast,(T62),2.7,248,193,63.0,73000,6.0,7.0,1.727,8.5
ANSI Aluminum Alloy 295.0 Cast,(T7),2.7,200,110,63.0,73000,6.0,7.0,1.551,8.5
ANSI Aluminum Alloy 319.0 Cast,(F),2.7,159,90,63.0,73000,6.0,7.0,1.4,8.5
ANSI Aluminum Alloy 319.0 Cast,(T6),2.7,214,138,63.0,73000,6.0,7.0,1.602,8.5
ANSI Aluminum Alloy 328.0 Cast,(F),2.7,172,97,63.0,73000,6.0,7.0,1.448,8.5
ANSI Aluminum Alloy 328.0 Cast,(T6),2.7,234,145,63.0,73000,6.0,7.0,1.676,8.5
ANSI Aluminum Alloy 355.0 Cast,(T51),2.7,172,124,63.0,73000,6.0,7.0,1.448,8.5
ANSI Aluminum Alloy 355.0 Cast,(T6),2.7,221,138,63.0,73000,6.0,7.0,1.628,8.5
ANSI Aluminum Alloy 355.0 Cast,(T71),2.7,207,152,63.0,73000,6.0,7.0,1.577,8.5
ANSI Aluminum Alloy 356.0 Cast,(T51),2.7,159,110,63.0,73000,6.0,7.0,1.4,8.5
ANSI Aluminum Alloy 356.0 Cast,(T6),2.7,207,138,63.0,73000,6.0,7.0,1.577,8.5
ANSI Aluminum Alloy 356.0 Cast,(T7),2.7,214,200,63.0,73000,6.0,7.0,1.602,8.5
ANSI Aluminum Alloy 356.0 Cast,(T71),2.7,172,124,63.0,73000,6.0,7.0,1.448,8.5
ANSI Aluminum Alloy 443.0 Cast,(F),2.7,117,48,63.0,73000,6.0,7.0,1.246,8.5
ANSI Aluminum Alloy 512.0 Cast,(F),2.7,117,69,63.0,73000,6.0,7.0,1.246,8.5
ANSI Aluminum Alloy 514.0 Cast,(F),2.7,152,62,63.0,73000,6.0,7.0,1.375,8.5
ANSI Aluminum Alloy 520.0 Cast,(T4),2.7,290,152,63.0,73000,6.0,7.0,1.882,8.5
ANSI Aluminum Alloy 535.0 Cast (F or,T5),2.7,241,124,63.0,73000,6.0,7.0,1.702,8.5
ANSI Aluminum Alloy 705.0 Cast (F or,T5),2.7,207,117,63.0,73000,6.0,7.0,1.577,8.5
ANSI Aluminum Alloy 707.0 Cast,(T5),2.7,228,152,63.0,73000,6.0,7.0,1.654,8.5
ANSI Aluminum Alloy 707.0 Cast,(T7),2.7,255,207,63.0,73000,6.0,7.0,1.753,8.5
ANSI Aluminum Alloy 710.0 Cast (F or,T5),2.7,221,138,63.0,73000,6.0,7.0,1.628,8.5
ANSI Aluminum Alloy 712.0 Cast (F or,T5),2.7,234,172,63.0,73000,6.0,7.0,1.676,8.5
ANSI Aluminum Alloy 713.0 Cast (F or,T5),2.7,221,152,63.0,73000,6.0,7.0,1.628,8.5
ANSI Aluminum Alloy 771.0 Cast,(T5),2.7,290,262,63.0,73000,6.0,7.0,1.882,8.5
ANSI Aluminum Alloy 771.0 Cast,(T51),2.7,221,186,63.0,73000,6.0,7.0,1.628,8.5
ANSI Aluminum Alloy 771.0 Cast,(T52),2.7,248,207,63.0,73000,6.0,7.0,1.727,8.5
ANSI Aluminum Alloy 771.0 Cast,(T53),2.7,248,186,63.0,73000,6.0,7.0,1.727,8.5
ANSI Aluminum Alloy 771.0 Cast,(T6),2.7,290,241,63.0,73000,6.0,7.0,1.882,8.5
ANSI Aluminum Alloy 771.0 Cast,(T71),2.7,331,310,63.0,73000,6.0,7.0,2.032,8.5
ANSI Aluminum Alloy 852.0 Cast,(T5),2.7,165,124,63.0,73000,6.0,7.0,1.422,8.5
ANSI Aluminum Alloy A356.0 Cast,(T6),2.7,234,165,63.0,73000,6.0,7.0,1.676,8.5
ANSI Aluminum Alloy B443.0 Cast,(F),2.7,117,41,63.0,73000,6.0,7.0,1.246,8.5
ANSI Aluminum Alloy C355.0 Cast,(T6),2.7,248,172,63.0,73000,6.0,7.0,1.727,8.5
ANSI Aluminum Bronze C95200,,8.8,552,186,63.0,120000,5.0,7.5,2.844,8.5
ANSI Aluminum Bronze C95300,,8.8,517,186,63.0,120000,5.0,7.5,2.716,8.5
ANSI Aluminum Bronze C95400,,8.8,586,241,63.0,120000,5.0,7.5,2.969,8.5
ANSI Aluminum Bronze C95500,,8.8,689,303,63.0,120000,5.0,7.5,3.347,8.5
ANSI Aluminum Bronze C95600,,8.8,517,234,63.0,120000,5.0,7.5,2.716,8.5
ANSI Aluminum Bronze C95700,,8.8,655,310,63.0,120000,5.0,7.5,3.222,8.5
ANSI Aluminum Bronze C95800,,8.8,655,262,63.0,120000,5.0,7.5,3.222,8.5
ANSI Cartridge brass C26000,,8.8,303,76,239.0,105000,5.0,6.5,1.929,5.0
ANSI Commercial bronze C22000,,8.8,255,69,239.0,105000,5.0,7.5,1.753,5.0
ANSI Copper Alloy C10100,,8.93,221,69,239.0,108000,5.0,6.5,1.628,5.0
ANSI Copper Alloy C15000,,8.93,200,41,239.0,108000,5.0,6.5,1.551,5.0
ANSI Copper Alloy C15500,,8.93,276,124,239.0,108000,5.0,6.5,1.83,5.0
